,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
60,KR_5947380657,2022-06-01 18:09:57.731,3.5,53.398058252427184,False,2,2.3200000000000003,2.575,2.0,2.4,2.8000000000000003,3.5,2.0,2.0,13.8,11.5,50.40843578997179,50.80181584290015,50.25380710659898,51.848729725015986,59.154929577464785,58.333333333333336,38.23529411764706,41.17647058823529
61,KR_5947226183,2022-06-01 17:28:16.634,3.5,53.398058252427184,False,2,2.79,2.625,2.4499999999999997,2.5,4.0,3.5,2.0,2.0,16.6,14.75,59.44849386172105,64.34757657861068,60.56338028169014,64.19902912621359,66.66666666666666,76.66666666666667,52.0,52.32558139534884
62,KR_5947186966,2022-06-01 16:32:54.488,3.5,53.398058252427184,True,1,2.8600000000000003,2.75,2.8,2.8,3.5,4.0,2.0,1.75,15.8,14.8,51.585180710755445,54.9616420177803,53.00429184549357,51.822916666666664,54.123711340206185,60.37735849056604,47.22222222222222,50.476190476190474
63,KR_5947140126,2022-06-01 15:51:59.291,3.5,53.398058252427184,True,1,2.62,2.8600000000000003,2.8,2.8000000000000003,3.5,4.0,2.0,2.0,16.4,15.8,53.77598651605864,50.349849836724125,53.398058252427184,50.847457627118644,63.29113924050633,66.29213483146067,45.11278195488722,37.03703703703704
64,KR_5946833461,2022-06-01 15:18:39.127,3.5,53.398058252427184,True,2,2.6,2.9,2.0,3.5,3.5,3.5,2.0,2.0,14.2,16.0,50.01627357097986,50.46043973329371,49.152542372881356,50.495049504950494,53.36322869955157,53.398058252427184,47.706422018348626,47.5
65,KR_5946641875,2022-06-01 14:21:44.210,3.5,53.398058252427184,True,1,3.3600000000000003,2.5,3.5,2.4499999999999997,3.5,2.8000000000000003,2.8000000000000003,2.0,14.8,14.2,52.62287855411065,42.41076604554866,51.57593123209169,44.20289855072464,61.53846153846154,50.28571428571429,46.601941747572816,30.434782608695656
66,KR_5946557696,2022-06-01 13:59:49.141,3.5,53.398058252427184,False,2,3.0800000000000005,3.0625,2.8000000000000003,3.5,3.5,3.5,2.8000000000000003,1.75,9.8,9.0,51.852631578947374,47.724514563106794,55.26315789473685,51.69902912621359,64.28571428571429,54.166666666666664,35.714285714285715,33.33333333333333
67,KR_5946502729,2022-06-01 13:31:28.786,3.5,53.398058252427184,False,1,2.3,2.8600000000000003,2.0,2.8000000000000003,3.5,4.0,2.0,2.0,11.8,13.0,53.4763633745437,57.42478895387186,53.398058252427184,55.80357142857143,60.0,65.57377049180327,48.19277108433735,48.732083792723266
68,KR_5946474461,2022-06-01 12:44:30.985,3.5,53.398058252427184,False,2,2.8875,2.425,2.8,2.2249999999999996,3.5,3.5,2.4499999999999997,1.75,17.25,15.75,42.91182170542636,54.57658452058199,48.74031007751938,52.0721634545718,61.66666666666667,65.0,12.5,49.162011173184354
69,KR_5946367706,2022-06-01 12:01:57.726,3.5,53.398058252427184,False,2,2.54,2.7600000000000002,2.0,2.8,3.5,3.5,2.0,2.0,13.8,12.8,49.14854785627462,51.85676782764161,50.0,53.398058252427184,53.96825396825397,57.692307692307686,40.0,44.1025641025641
